Index,German,English
3821,überhaupt,". . . at all, generally"
3822,überhaupt nicht,"not at all, in no way"
3823,überhaupt nichts,nothing at all
3824,überholen,to overtake
3825,übermorgen,the day after tomorrow
3826,übernachten,to stay over night
3827,"übernehmen, übernahm, übernommen","to take over, to take on, to take possession"
3828,überqueren,to cross (physically)
3829,überraschen,to surprise
3830,überreden,to persuade
3831,überregional,transregional
3832,übersät (mit),"strewn (with), covered (in)"
3833,überschnappen,"to go crazy, to snap, to crack (mentally)"
3834,überschwemmen,"to flood (transitive) (2), to inundate"
3835,übersetzen,to translate
3836,überzeugen,to convince
3837,übrigens,"by the way, incidentally"
3838,um,around
3839,um ... zu ...,in order to
3840,um die wette laufen,to race someone
3841,um rat fragen,to ask for advice
3842,um wieviel uhr?,at what time?
3843,"umgeben von, gab um, umgegeben",to be surrounded by
3844,"umkommen, kam um, umgekommen",to perish
3845,ums leben kommen,to be killed
3846,umsonst,"for nothing, in vain, or free of cost"
3847,"umsteigen, stieg um, umgestiegen",to change (transportation)
3848,umstellen,"to rearrange, to adjust"
3849,umtauschen,to exchange
3850,"umziehen, zog um, umgezogen","to move, to change residence"
3851,unabhängig (von),"independent, irrespective (of)"
3852,unbewohnbar,uninhabitable
3853,und,and
3854,undankbar,"ungrateful, thankless"
3855,undefinierbar,"indefinable, indescribable, indeterminate"
3856,uneben,uneven
3857,unehrlich,dishonest
3858,unerhört,"outrageous, scandalous, unheard-of, incredible"
3859,ungarn,hungary
3860,ungefähr,"approximately, roughly"
3861,ungesund,unhealthy
3862,unglücklich,"unhappy, unfortunate, unlucky"
3863,unheimlich,"uncanny, eerie, incredible, sinister"
3864,unhöflich,impolite
3865,unkontrollierbar,uncontrollable or impossible to check
3866,unkultiviert,uncultivated
3867,unmöglich,impossible
3868,unordentlich,"disorderly, untidy"
3869,unrecht haben,to be wrong
3870,unregelmäßig,irregular
3871,unser,our
3872,unten,below
3873,unter,under
3874,unter vier augen,"in private, face to face, between ourselves"
3875,"unterbrechen, unterbrach, unterbrochen",to interrupt
3876,"untergehen, ging unter, untergegangen",to be destroyed
3877,unterschiedlich,different (2)
3878,"unterschreiben, unterschrieb, unterschrieben",to sign a signature
3879,"unterstreichen, unterstrich, unterstrichen",to underline
3880,unterwegs,on the way
3881,unübersetzbar,untranslatable
3882,unvorstellbar,unimaginable
3883,unzufrieden,dissatisfied
3884,uralt,ancient
3885,ursprünglich,originally
3886,usw. (und so weiter),etc. (and so on)
3887,"der valentinstag, -e",valentine's day
3888,väterlich,fatherly
3889,väterlicherseits,paternal
3890,vaterlos,fatherless
3891,vegetarisch,vegetarian (adj.)
3892,venedig,venice
3893,"der vermieter, -",the landlord
3894,veränderlich,changeable
3895,verändern,to change (2)
3896,verbessern,"to improve, to correct"
3897,"verbieten, verbot, verboten",to forbid
3898,verbittert,"bitter, embittered"
3899,verbrauchen,to consume; use up
3900,"verbringen, verbrachte, verbracht",to spend time
3901,verdanken,to owe
3902,"verderben, verdarb, verdorben","1. to corrupt, to ruin (+ haben); 2. to spoil, go off/bad (+ sein)"
3903,verdienen,to earn
3904,verflixt!,darn it! damn!
3905,vergangen,past
3906,"vergessen, vergaß, vergessen",to forget
3907,vergiften,to poison
3908,"vergleichen, verglich, verglichen",to compare
3909,vergnügt,"merry, happy, cheerful"
3910,vergrößern,to enlarge
3911,verhaften,to arrest
3912,verheiratet,married
3913,verhören,to interrogate
3914,verkaufen,to sell
3915,"verlassen, verließ, verlassen",to leave; to abandon
3916,"verlieren, verlor, verloren",to lose
3917,verlobt,engaged (to be married)
3918,"vermeiden, vermied, vermieden",to avoid
3919,vermieten,to rent out (to someone)
3920,vernünftig,"sensible, reasonable"
3921,verpassen,to miss something scheduled
3922,verrecken,to come to a miserable end (slang)
3923,verrückt,crazy (1)
3924,versalzen,oversalted
3925,versammeln,to gather (sth or so together)
3926,"verschieben, verschob, verschoben",to postpone
3927,verschieden,"various, different"
3928,verschmutzen,to pollute
3929,verschwenden,to waste
3930,verschwenderisch,wasteful
3931,"verschwinden, verschwand, verschwunden",to disappear
3932,versichern,to insure
3933,versorgen,to supply
3934,"versprechen, versprach, versprochen",to promise
3935,verstecken,to hide
3936,"verstehen, verstand, verstanden",to understand
3937,verstümmelt,mutilated
3938,versuchen,"to try, attempt"
3939,"vertreten, vertrat, vertreten",to represent
3940,verwandt,related
3941,verwendbar,usable
3942,verwenden,"to use (3), utilise"
3943,verwirrt,confused
3944,verwundert,astonished
3945,"die entschuldigung, -en",the apology
3946,viel,a lot
3947,viel glück!,lots of luck!
3948,viel zu viel,far too much
3949,viele,many
3950,vielleicht,"perhaps, maybe"
3951,viertel nach elf,quarter after eleven
3952,viertel vor elf,quarter to eleven
3953,vierzehn tage,fourteen days
3954,violett,violet
3955,voll,full
3956,völlig,fully
3957,vollständig,"complete, entire"
3958,von,"from, of"
3959,von ... bis,from ... to (timewise)
3960,von jetzt an,from now on
3961,von montag an,from monday on
3962,von selbst,by itself (automatically); of oneself
3963,von unten,from the bottom
3964,vor,in front of; for
3965,vor allem,above all; first of all;
3966,vor dem fernseher,in front of the television
3967,vor kurzem,a short time ago; recently; the other day
3968,vor lauter wohlstand,for all (their) affluence
3969,vorbei sein,"to be over, finished"
3970,"vorbeigehen, ging vorbei, vorbeigegangen","to go by, to go past, on the way"
3971,vorbereiten,to prepare
3972,"vorgeben, gab vor, vorgegeben","1. to pretend, to purport; 2. to specify"
3973,vorgestern,the day before yesterday
3974,"vorhaben, hatte vor, vorgehabt","to intend, plan; to have in mind"
3975,vorher,"beforehand, previously"
3976,"vorlesen, las vor, vorgelesen",to read aloud
3977,vormittags,in the morning
3978,vorn,at the front; to the front
3979,die vorsicht,"the foresight, caution, care (no plural)"
3980,vorsichtig,careful
3981,vorstellen,"to imagine, to introduce/present [somebody or something]"
3982,"vorziehen, zog vor, vorgezogen","to pull/move forward, to prefer (e.g. to give somebody special treatment)"
3983,"wachsen, wuchs, gewachsen",to grow
3984,wagen,to risk (1)
3985,wählen,to choose
3986,wahr,"true, real"
3987,während,"during, while"
3988,wandern,to hike
3989,wann,when (interrogative)
3990,wann bist du geboren?,when were you born?
3991,warm,warm
3992,warnen,to warn
3993,warten,to wait
3994,warten auf,to wait for (+ acc.)
3995,warum,why (1)
3996,was,what
3997,was für ein schweinestall!,what a pigsty!
3998,was für sport machst du?,what sports do you do?
3999,was ist denn los?,what's up?
4000,was ist los mit dir?,what's the matter with you?
4001,waschbar,washable
4002,"waschen, wusch, gewaschen",to wash
4003,wässerig,watery
4004,wechselhaft,"variable, changeable"
4005,wechseln,to switch (as in change)
4006,wecken,to wake sb up; to be woken
4007,weder ... noch ...,neither ... nor ...
4008,weg,away
4009,wegen,because of (+ genitive)
4010,"wegfahren, fuhr weg, weggefahren","to drive away, to leave"
4011,"wegfliegen, flog weg, weggeflogen",to fly away
4012,"weggehen, ging weg, weggegangen",to go away
4013,"wegnehmen, nahm weg, weggenommen",to take away
4014,wegräumen,to clear away
4015,"wegrennen, rannte weg, weggerannt",to run away
4016,"wegschwimmen, schwamm weg, weggeschwommen",to swim away
4017,"wegsehen, sah weg, weggesehen",to look away
4018,"wegwerfen, warf weg, weggeworfen",to throw away
4019,weiblich,female
4020,weihnachten,christmas
4021,weil,because
4022,weinen,to cry /weep
4023,"weisen, wies, gewiesen",1 to expel or reject sth; 2. to indicate
4024,weiß,white
4025,weit,"far (adv), wide (adj)"
4026,weiter,further
4027,weitermachen,"to carry on, to continue (3)"
4028,"weitergeben, gab weiter, weitergegeben",to pass along / to pass something on
4029,welche farbe hat marks hemd?,what colour is mark's shirt?
4030,"welcher, welche, welches","which (masc, fem, neut)"
4031,wenig,few / little (quant.)
4032,weniger,less / fewer
4033,wenigstens,at least (2)
4034,wenn,"when, if"
4035,"wenn ich mich nicht irre, ...","if i'm not mistaken, ..."
4036,wer,who
4037,"werden, wurde, geworden",to become (will)
4038,"werfen, warf, geworfen",to throw
4039,wertlos,worthless
4040,wertvoll,valuable
4041,westlich (von),west (of)
4042,wetten,to bet
4043,wichtig,important
4044,widerlich,revolting / disgusting
4045,wie,how
4046,wie bitte?,pardon?
4047,wie ein könig,like a king
4048,wie geht es ihnen?,how are you? (formal)
4049,wie geht's?,how are you? (informal) / how's it going?
4050,wie heißen sie?,what's your name? (formal)
4051,wie ist das wetter?,what's the weather like?
4052,wie sagt man das?,how do you say that?
4053,wie spät ist es?,what time is it? (1)
4054,wieviel uhr ist es?,what time is it? (2)
4055,wieviel / wie viele,how much / how many?
4056,wieder,again
4057,"wiederverwerten,",to recycle (2)
4058,wiederholen,to repeat
4059,"wiedersehen, sah wieder, wiedergesehen",to see again
4060,wiegen,to weigh
4061,wien,vienna
4062,wieso,why (3)
4063,wild,wild
4064,willkommen,welcome
4065,windig,windy
4066,windstill,"windless, calm"
4067,windsurfen gehen,to go windsurfing
4068,winzig,tiny
4069,wir kommen zu viert,the four of us are coming
4070,wirklich,real / really
4071,"wissen, wusste, gewusst",to know (facts)
4072,witzig,"witty, funny"
4073,wo,where
4074,wo machst du am liebsten ferien?,where is your favourite vacation spot?
4075,wöchentlich,weekly
4076,woher,"where from, whence"
4077,wohin,"where to, whither"
4078,wohl,well
4079,wohnen,"to live, to reside"
4080,wolkenlos,cloudless
4081,wolkig,cloudy (3)
4082,"wollen, wollte",to want
4083,wozu,what for
4084,wunderbar,"wonderful, marvellous"
4085,wunderschön,"beautiful, lovely, wonderful"
4086,wundervoll,"marvelous, wonderful"
4087,wünschen,to wish
4088,wurmig,wormy
4089,wütend,furious
4090,z.b. (zum beispiel),e.g. (for example)
4091,zahlen,to pay (money)
4092,zählen,to count
4093,zahllos,countless
4094,zahnlos,toothless
4095,zahnmedizinisch,dental
4096,zehn uhr,ten o'clock
4097,zeichnen,1. to draw. 2. to sign
4098,zeigen,to show
4099,zelten,to camp (in a tent)
4100,zentral,central
4101,"zerfallen, zerfiel, zerfallen",to disintegrate
4102,zerstören,to destroy
4103,"ziehen, zog, gezogen",to pull
4104,ziellos,aimless
4105,ziemlich,"quite, fairly"
4106,zimmer frei,"vacancies, rooms available"
4107,zittern,to tremble
4108,zornig,angry
4109,zu,"too, to"
4110,zu beginn,at the beginning
4111,zu besuch kommen,to come to visit
4112,zu ende sein,to be at the end; to be over
4113,zu fuß gehen,to go by foot
4114,zu hause sein,to be at home
4115,zum mittagessen,for lunch
4116,zu weihnachten,for christmas
4117,zuerst,first (adverb)
4118,zufällig,by chance
4119,zufrieden,satisfied
4120,"zugeben, gab zu, zugegeben",to admit  (to something)
4121,zuhören,to listen to sb/sth
4122,zuletzt,"lastly (2), finally"
4123,zum abendessen,for dinner/for supper
4124,zum beispiel (z.b.),for example (e.g.)
4125,zum ersten mal,for the first time
4126,zum frühstück,for breakfast
4127,zum geburtstag,for one's birthday
4128,zum geburtstag gratulieren,to wish a happy birthday
4129,zum nachtisch,for dessert
4130,zuverlässig,"dependable, reliable"
4131,zumachen,"to seal, to close, to shut down [permanently]"
4132,"zunehmen, nahm zu, zugenommen","to increase, to put on weight"
4133,zupfeffern,to slam (the door) shut
4134,zur uni,to the university (short form)
4135,zurück,back
4136,"zurückbringen, brachte zurück, zurückgebracht",to bring back
4137,"zurückkommen, kam zurück, zurückgekommen","to return, to come back"
4138,zurückschmeißen,to throw back
4139,zurückzahlen,to pay back; repay
4140,zusammen,together
4141,"zusammenbinden, band zusammen, zusammengebunden",to tie together
4142,zusammenpassen,"to match, to go together, to suit each other"
4143,"zusammenrufen, rief zusammen, zusammengerufen","to call together, to convene"
4144,"zusammenstoßen, stieß zusammen, zusammengestoßen","to collide, to crash"
4145,zusätzlich,additional
4146,zuvor,"previously, before"
4147,zwar,"although, indeed"
4148,zwar ... aber ...,it's true that ... but ...
4149,zweieinhalb,two and a half
4150,zweimal,twice
4151,zwischen,between
4152,eins,one
4153,zwei,two
4154,drei,three
4155,vier,four
4156,fünf,five
4157,sechs,six
4158,sieben,seven
4159,acht,eight
4160,neun,nine
4161,zehn,ten
4162,elf,eleven
4163,zwölf,twelve
4164,dreizehn,thirteen
4165,vierzehn,fourteen
4166,fünfzehn,fifteen
4167,zwanzig,twenty
4168,einundzwanzig,twenty-one
4169,dreißig,thirty
4170,"das hundert, -e",the hundred
4171,"das tausend, -e",the thousand
4172,"die million, -en",the million
4173,"die milliarde, -n",the billion
4174,"ach, ja?",is that so?
4175,am ende,at the end
4176,andererseits,on the other hand
4177,anfassen,to touch
4178,ist angekommen,arrived
4179,angemessen,appropriate; reasonable; suitable
4180,angesichts,in view of
4181,auf die toilette gehen,to go to the restroom/toilet
4182,auf etwas anstoßen,to toast or drink to something
4183,aufgeräumt,tidy
4184,aufgeschlossen,open-minded
4185,"aufschreiben, schrieb auf, aufgeschrieben",to write down
4186,"aufstoßen, stieß auf, aufgestoßen",to belch
4187,"auspfeifen, pfiff aus, ausgepfiffen","to boo, to hiss"
4188,"ausleihen, lieh aus, ausgeliehen",to loan out
4189,außerhalb,outside
4190,beantragen,to apply for
4191,beeindruckt,impressed
4192,bereit,ready
4193,besoffen,sloshed; plastered (i.e. very drunk)
4194,besorgt,worried
4195,"bestehen, bestand, bestanden",to pass an exam
4196,"braten, briet, gebraten",to roast or to fry
4197,bedanken,to express thanks
4198,behalten sie den rest.,keep the change. (formal)
4199,büffeln,"to bone up on, to cram"
4200,bürgerlich,"middle-class, bourgeois"
4201,darstellen,"to represent, to act, to act like"
4202,darunter,under it
4203,"das abendbrot, -e",the supper
4204,"das aussehen, -",the appearance
4205,"das bußgeld, -er",the fine
4206,"das café, -s",the café
4207,deutschland,germany (no plural)
4208,"das ereignis, -se","the event, incident"
4209,"das futter, -",the animal feed
4210,"das gefühl, -e",the feeling; the sensation
4211,"das geheimnis, -se",the secret
4212,das gekochte ei,the boiled egg
4213,schwäbisch,swabian
4214,das hartz iv,the unemployment benefits (no plural)
4215,innerhalb,"within, inside"
4216,"das interesse, -n",the interest (e.g. to have an interest in smth)
4217,"das internetcafé, -s",the internetcafé
4218,"das käsebrötchen, -",the cheese roll
4219,"das klopapier, -e",the toilet paper (slang)
4220,"das kondom, -e",the condom
4221,"das lächeln, -",the smile
4222,"das lampenfieber, -",the stage fright
4223,"das lebkuchenherz, -en",the gingerbread heart
4224,"das leitungswasser, -",the tap water
4225,"das lexikon, die lexika",the lexicon or dictionary
4226,"das maß, -e",the measure
4227,die menschenrechte,the human rights (pl)
4228,niederdeutsch,low german (dialect of northern germany)
4229,"das pfand, -e","the deposit, the security/collateral"
4230,das popcorn,the popcorn (no plural)
4231,das publikum,the audience (no plural)
4232,"das schimpfwort, -""er","the swear word, the profanity"
4233,das spülmittel,the dishwashing liquid (no plural)
4234,"das stockwerk, -e",the storey/floor (level of a building)
4235,"das treppenhaus, -""er",the stairwell
4236,"das trikot, -s",the jersey (clothing)
4237,"das universum, die universen",the universe
4238,"das volk, -""er","the people, the nation, the rabble, the masses"
4239,"das weltall, -e",the cosmos
4240,davor,before that
4241,demokratisch,democratic
4242,den müll rausbringen,to put out the rubbish
4243,der,the (masculine)
4244,"der akt, -e","1. the act (of an opera, etc.) 2. the nude (in art)"
4245,"der aktienmarkt, -""e",the stock market
4246,die bauchschmerzen,the stomachache (plural only)
4247,"der begriff, -e","the concept, term, idea"
4248,"der bewohner, -","the inhabitant, the occupant, the resident"
4249,der blödsinn,the nonsense (1) no pl.
4250,"der briefumschlag, -""e",the envelope (sp. for a letter)
4251,"der bund, -""e","the union, confederacy, or league"
4252,"die drucksache, -n",the printed matter
4253,"der döner, -",the döner/doner kebab
4254,"der fahrradweg, -e",the bicycle path
4255,"der fan, -s",the fan (person)
4256,"der feigling, -e",the coward
4257,"der frost, -""e",the frost
4258,"der gastarbeiter, -",the foreign guest worker
4259,"der gegensatz, -""e",the opposite (1); the contrast; the opposition
4260,"der grenzübergang, -""e",the border crossing
4261,"der hof, -""e",the courtyard; court (hist.)
4262,der hundehaufen,the dog faeces (no plural)
4263,"der inhalt, -e","the content(s); meaning, significance"
4264,"der irre, -n",the lunatic (colloquial)
4265,der kapitalismus,the capitalism (no plural)
4266,"der kater, -",the hangover
4267,"der kiosk, -e",the kiosk
4268,"der kollege, -n, -n",the colleague
4269,"der kommilitone, -n, -n",the fellow student (tertiary)
4270,"der konzertsaal, die konzertsäle",the concert hall
4271,"der kopfschmerz, -en",the headache (sing. seldom)
4272,"der kosmos, die kosmen",the cosmos
4273,"der krebs, -e",the crab or the cancer
4274,der kulturschock,the culture shock (no plural)
4275,"der lebkuchen, -",the gingerbread
4276,"der leim, -e",the glue
4277,"der meister, -",the master
4278,"der mitarbeiter, -",the co-worker
4279,der mut,the courage (no plural)
4280,der o-saft,the orange juice (colloquial) (no plural)
4281,"der ossi, -s",the east german (often derogatory)
4282,"der pferdeschwanz, -""e",the pony tail
4283,"der priester, -",the priest
4284,der rassismus,the racism (no plural)
4285,"der raum, -""e",the room /space / area
4286,"der regisseur, -e",the film director
4287,der respekt,the respect (no plural)
4288,"der richter, -",the judge
4289,"der schaffner, -",the train conductor /guard
4290,"die schlagzeile, -n",the headline
4291,"der schiedsrichter, -","the referee, the umpire"
4292,"der schlager, -",the hit (pop song)
4293,"der schreck, -en",the fright
4294,der sekt,the sparkling wine (no plural)
4295,"der sieg, -e",the victory
4296,"der spalt, -e","the gap, chink"
4297,"der sprudel, -",the sparkling mineral water
4298,"der stollen, -",the stollen (german christmas cake)
4299,"der torwart, -e",the goalkeeper
4300,der tourismus,the tourism (no plural)
4301,"der übergang, -""e",the transition
4302,"der unterricht, -e",the lesson
4303,"der versuch, -e",the attempt
4304,"der weihnachtsmann, -""er",santa claus / father christmas
4305,der weltraum,the outer space (no plural)
4306,"der wessi, -s",the west german (derogatory)
4307,der zorn,the anger (no plural)
4308,die,the (feminine)
4309,die armut,the poverty (no plural)
4310,die ausdauer,the endurance (no plural)
4311,"die beleuchtung, -en",the lighting
4312,"die besichtigung, -en",the sightseeing
4313,"die bildhauerei, -en",the sculpture
4314,"die börse, -n",the stock market
4315,die bratkartoffeln,the sautéed potatoes (no singular)
4316,die bundesrepublik deutschland (brd),the federal republic of germany (frg) [no plural]
4317,die bundesrepublik,the federal republic (no plural)
4318,die deutsche demokratische republik (ddr),the german democratic republic (gdr) [no plural] - east germany
4319,"die energie, -n",the energy
4320,"die enzyklopädie, -n",the encyclopedia
4321,"die erinnerung, -en","the memory, recollection"
4322,"die erklärung, -en","1. the explanation, definition;  2. statement, deposition"
4323,"die erziehung, -en",the upbringing
4324,"die galerie, -n",the gallery
4325,"die gebrannte mandel, -n",the roasted almond
4326,"die gemeinde, -n","the municipality, parish, community; the following"
4327,die gesundheit,the health (no plural)
4328,"die gewalt, -en",the force; power; violence
4329,"die gleichheit, -en",the equality
4330,"die gmbh, -s",the limited liability company - abbr.
4331,"der gute vorsatz, -""e","the good intention, resolution"
4332,die haare färben,to dye the hair
4333,"die höflichkeit, -en",1. the politeness; 2. the compliment
4334,"die hypothek, -en",1. the mortgage; 2. burden
4335,"die integration, -en",the integration
4336,"die kanne, -n","the pot; can, (watering) can"
4337,"die klatschzeitung, -en",the tabloid
4338,"die konferenz, -en",the conference
4339,"die krankenschwester, -n",the nurse (arch)
4340,"die krippe, -n",the crib
4341,"die krise, -n",the crisis
4342,"die kultur, -en",the culture
4343,die menschheit,the mankind (no plural)
4344,"die mitternacht, -""e",the midnight
4345,"die muttersprache, -n",the mother tongue
4346,"die niederlage, -n",the defeat
4347,"die notaufnahme, -n",the emergency room (hospital) / the a&e
4348,"die oberschicht, -en",the upper-class
4349,"die ohrfeige, -n",slap in the face
4350,die ostalgie,nostalgia for the gdr (no plural)
4351,"die pappe, -n",the cardboard
4352,"die pille, -n",the pill
4353,die pressefreiheit,the freedom of the press (no plural)
4354,"die quote, -n",the proportion;  the ratio; the quota
4355,die redefreiheit,freedom of speech (no plural)
4356,"die schicht, -en","the layer, stratum; the social class; the shift (work)"
4357,"die schminke, -n","the make-up, cosmetics"
4358,"die schwierigkeit, -en",the difficulty
4359,"die soziale mobilität, -en",the social mobility
4360,die staatssicherheit (stasi),the state security of east germany (no plural)
4361,"die sterblichkeit, -en",the mortality
4362,die stoppel,the stubble (no plural) [beard & field]
4363,"die truppe, -n",1. the combat unit 2. the troupe (dramatic)
4364,"die tüte, -n",the bag
4365,"die umarmung, -en","the hug, the embrace"
4366,"die ungleichheit, -en","the inequality, disparity; dissimilarity"
4367,"die vergangenheit, -en",the past
4368,"die verhütung, -en",the contraception
4369,"die verpackung, -en",the packaging
4370,"die weltmeisterschaft, -en",the world championship (sport)
4371,"die wende, -n",the u-turn; political change
4372,"die zugabe, -n",the encore; the free gift
4373,"die zwiebel, -n",the onion
4374,dienen jemandem als,to serve somebody as . . .
4375,dreckig,"filthy, dirty"
4376,drehen,to turn smth
4377,du,"you (familiar, singular)"
4378,dumpf,"dull, muffled"
4379,durstig,thirsty
4380,ein fester entschluss,a firm resolve
4381,eine glatze bekommen,to go bald
4382,einerseits,on one hand
4383,einschalten,"1. to switch on, activate; 2. to consult sb"
4384,ekelig,nasty; disgusting
4385,entdecken,to uncover or discover
4386,"entlassen, entließ, entlassen","to dismiss, release, lay-off"
4387,er,he
4388,erleichtert,relieved
4389,es,it
4390,stressen,to stress or cause stress
4391,"treiben, trieb, getrieben",to drive or propel (transitive)
4392,euphorisch,euphoric
4393,fade,"bland, insipid"
4394,feig,cowardly
4395,fein,"fine, delicate"
4396,fest,"hard, solid, strong"
4397,fluchen,"to swear, to curse (to use profanity)"
4398,flüchten,to flee or escape
4399,flüchtig,elusive
4400,fördern,"to support, promote, sponsor"
4401,"der freitag, -e",friday
4402,fremd,foreign
4403,gebildet,educated
4404,geheim,secret (adj.)
4405,gemeinsam,"common, joint,  mutual, collective"
4406,gesamt,"whole, total, entire"
4407,gesellig,sociable
4408,gesellschaftlich,social
4409,gestresst,stressed
4410,glänzend,shiny
4411,glatzköpfig,bald
4412,grob,"coarse, uncouth"
4413,gruselig,gruesome
4414,gut aussehend,attractive
4415,guten rutsch!,happy new year!
4416,handeln,"to deal, trade, bargain, act"
4417,heilig,holy
4418,herum,around (in all directions)
4419,hierfür,for this (in exchange)
4420,ich,i
4421,im ausland,abroad
4422,im gegensatz zu,in contrast to; in opposition to
4423,im moment,at the moment
4424,in der mitte,in the middle
4425,in einem fach durchgefallen,to have failed a subject
4426,in erster linie,in the first place; primarily; first and foremost
4427,intolerant,intolerant
4428,"abheben, hob ab, abgehoben",to lift up; to withdraw money from a bank
4429,mir ist kalt.,i am cold/ i feel cold
4430,jemanden bei der hand fassen,to take somebody by the hand
4431,jemanden verklagen,to sue someone
4432,kauen,to chew
4433,kein problem!,no problem!
4434,klar,clear
4435,klatschen,1. to clap/applaud; 2. to smack; 3. to gossip
4436,klebrig,sticky
4437,komplex,complex
4438,kulturell,cultural
4439,küssen,to kiss
4440,lebensmüde,weary of life
4441,lediglich,merely
4442,leise,quiet; light; faint
4443,los geht's!,let's go!
4444,mal sehen,we'll see
4445,mist!,shit! damn!
4446,nach etwas duften,to smell of something (+d)
4447,nach links,to the left
4448,nach rechts,to the right
4449,nähen,to sew
4450,"die neufassung, -en","revision, remake"
4451,nieder,down (adv); low (adj.)
4452,nebenan,"next door, next to it"
4453,orange,orange
4454,pleite sein,to be broke
4455,raffiniert,"1. clever, ingenious; 2. refined; 3. cunning, sly"
4456,rasieren,to shave
4457,rückwärts,backwards
4458,rutschig,slippery
4459,schauen,to look at
4460,scheitern,to fail
4461,schläfrig,sleepy
4462,schlürfen,to slurp
4463,schmatzen,to munch
4464,schunkeln,to sway to the music with linked arms
4465,"schwarzfahren, fuhr schwarz, schwarzgefahren",to evade fares
4466,schwierig,difficult
4467,schwitzen,to sweat
4468,seidig,silky
4469,selbstsicher,self-assured; self-confident
4470,selbstverständlich,"natural, self-evident, obvious"
4471,senden,to broadcast; to send
4472,sich die hände waschen,to wash one's hands
4473,sich freuen,to be glad
4474,sich fühlen,to feel
4475,sich hinsetzen,to sit down
4476,sich verstecken,to hide oneself
4477,sich von etwas erholen,to take a break/recover from something
4478,sie,"she, they"
4479,somit,consequently
4480,"der sonntag, -e",sunday
4481,später,later
4482,"stinken, stank, gestunken",to stink
4483,tolerant,tolerant
4484,touristisch,touristic
4485,um die ecke,around the corner
4486,umarmen,"to embrace, to hug"
4487,unbekannt,"unknown, unfamiliar"
4488,ungewiss,uncertain; unsure
4489,uns,us
4490,unsicher,uncertain; unsure
4491,unterrichten,to teach
4492,unterstützen,to support (2)
4493,unverantwortlich,irresponsible
4494,unvergesslich,unforgettable
4495,"vergeben, vergab, vergeben",to forgive; to allocate / award
4496,versichert,insured
4497,verspätet,delayed
4498,vierzig,forty
4499,"voraussehen, sah voraus, vorausgesehen",to foresee
4500,konsequent,consistent
4501,vorwärts,forwards
4502,vorwiegend,"predominantly, mainly"
4503,während der pause,during the intermission
4504,wahrscheinlich,probably
4505,weich,soft
4506,"weitergehen, ging weiter, weitergegangen",to continue (2)
4507,weiterhin,furthermore; still
4508,weltweit,worldwide
4509,wesentlich,essential; considerable; substantial
4510,widerwillig,reluctant
4511,wir,we
4512,wir sind zu zweit.,there are two of us.
4513,wirksam,"effective, efficacious"
4514,würzig,spicy
4515,zahlreich,numerous
4516,zensiert,"1. marked, graded 2. censored"
4517,zögern,to hesitate
4518,züchten,to cultivate (hort.); to breed animals
4519,zuhause,home (no art; no pl)
4520,zunehmend,increasing/increasingly
4521,zurückbezahlen,to repay; to pay back
4522,zusammenwohnen,to live together
4523,zweisprachig,bilingual
4524,"abgeben, gab ab, abgegeben",to hand in; submit; hand over
4525,abgesehen von,apart from
4526,"abhängen, hing ab, abgehangen",to depend
4527,"ablaufen, lief ab, abgelaufen",to run out; to drain
4528,"absehen, sah ab, abgesehen",to foresee
4529,achten,"to respect, pay attention, take care"
4530,allzu,all too
4531,am,"at the, on the"
4532,"anerkennen, erkannte an, anerkannt","to recognise, acknowledge"
4533,"angeben, gab an, angegeben",to boast
4534,angeblich,alleged
4535,"angehen, ging an, angegangen","1. to concern, to have to do with; 2. to begin, start, come on"
4536,ankündigen,to announce
4537,anlegen,to invest
4538,"anschließen, schloss an, angeschlossen",to connect
4539,anschließend,"subsequently, afterwards"
4540,ansetzen,to position
4541,ansonsten,otherwise
4542,"ansprechen, sprach an, angesprochen",to address; to consider
4543,anstreben,to aim for; to strive for
4544,anwenden,to use (4)
4545,anzeigen,to report (1); to display
4546,arabisch,arabian (adj.)
4547,auf der bühne,on the stage
4548,"auffallen, fiel auf, aufgefallen",to stand out; attract attention
4549,auffordern,to request
4550,augenblicklich,"immediate, momentary"
4551,aufmerksam,attentive
4552,aufstellen,"to install, to put sth up"
4553,auftauchen,to surface; to reappear
4554,aufweisen,"to show; point out; point to, to exhibit"
4555,auseinander,"apart, widely spaced, separated"
4556,ausführen,"1.to carry out, implement, do; 2. export (computing)"
4557,auslösen,to trigger; to set off; to activate
4558,ausrichten,to pass on information/ a message; to tell
4559,"ausschließen,","to rule out sth, to lock out [s]; to exclude, expel, disqualify [is];"
4560,ausschließlich,exclusive
4561,"äußerer, äußere, äußeres","outer (m,f,n)"
4562,"aussprechen, sprach aus, ausgesprochen",to pronounce; to express
4563,ausüben,to practise (a profession); to hold office
4564,auswählen,"to select, pick out, choose"
4565,automatisch,automatic
4566,beachten,to take into account; to observe (as in comply)
4567,bedeutend,"significant, eminent"
4568,bedingen,to cause (1); to demand
4569,"bedürfen, bedurfte, bedurft",to require
4570,beeinflussen,to influence
4571,beenden,to finish; to bring sth to an end
4572,befürchten,"to fear (sth), to be afraid"
4573,begeistern,to inspire; to fill with enthusiasm
4574,begrenzen,to limit; to mark the border of sth
4575,begründen,"to justify, give reasons for, explain"
4576,behaupten,to claim
4577,beherrschen,to control
4578,beinahe,almost (1)
